"sku","special_from_date"
"136793","19/04/26"
"136797","19/04/26"
"136838","19/04/26"
"154836","19/04/26"
"136880","19/04/26"
"136884","19/04/26"
"136887","19/04/26"
"136890","19/04/26"
"138176","19/04/26"
"138186","19/04/26"
"138996","19/04/26"
"139775","19/04/26"
"136969","19/04/26"
"136971","19/04/26"
"202612","19/04/26"
"202813","19/04/26"
"216436","19/04/26"
"255470","19/04/26"
"124963","19/04/26"
"158197","19/04/26"
"158091","19/04/26"
"158199","19/04/26"
"158202","19/04/26"
"158206","19/04/26"
"159280","19/04/26"
"159291","19/04/26"
"159292","19/04/26"
"139014","19/04/26"
"158085","19/04/26"
"158087","19/04/26"
"216565","19/04/26"
"405479","19/04/26"
"139222","19/04/26"
"140167","19/04/26"
"140470","19/04/26"
"140534","19/04/26"
"136984","19/04/26"
"138410","19/04/26"
"139382","19/04/26"
"138196","19/04/26"
"140443","19/04/26"
"139502","19/04/26"
"138219","19/04/26"
"134502","19/04/26"
"158057","19/04/26"
"158077","19/04/26"
"158080","19/04/26"
"158124","19/04/26"
"158128","19/04/26"
"180973","19/04/26"
"180994","19/04/26"
"180996","19/04/26"
"225654","19/04/26"
"227385","19/04/26"
"232322","19/04/26"
"232650","19/04/26"
"189220","19/04/26"
"180715","19/04/26"
"188962","19/04/26"
"189037","19/04/26"
"543686","19/04/26"
"133122","19/04/26"
"133161","19/04/26"
"216444","19/04/26"
"227525","19/04/26"
"224063","19/04/26"
"202873","19/04/26"
"126052","19/04/26"
"124984","19/04/26"
"127435","19/04/26"
"158215","19/04/26"
"140662","19/04/26"
"153666","19/04/26"
"144068","19/04/26"
"378514","19/04/26"
"377321","19/04/26"
"297594","19/04/26"
"291142","19/04/26"
"528043","19/04/26"
"312817","19/04/26"
"202533","19/04/26"
"125882","19/04/26"
"289615","19/04/26"
"289616","19/04/26"
"288403","19/04/26"
"289198","19/04/26"
"289208","19/04/26"
"147221","19/04/26"
"147219","19/04/26"
"176987","19/04/26"
"314464","19/04/26"
"112461","19/04/26"
"119857","19/04/26"
"162332","19/04/26"
"162299","19/04/26"
"162221","19/04/26"
"161908","19/04/26"
"161836","19/04/26"
"161799","19/04/26"
"161804","19/04/26"
"160609","19/04/26"
"162105","19/04/26"
"215193","19/04/26"
"175123","19/04/26"
"175925","19/04/26"
"175342","19/04/26"
"131130","19/04/26"
"131189","19/04/26"
"250443","19/04/26"
"244444","19/04/26"
"412987","19/04/26"
"371270","19/04/26"
"492931","19/04/26"
"419756","19/04/26"
"163726","19/04/26"
"163934","19/04/26"
"164002","19/04/26"
"150432","19/04/26"
"150645","19/04/26"
"150651","19/04/26"
"150643","19/04/26"
"162515","19/04/26"
"244218","19/04/26"
"411589","19/04/26"
"161400","19/04/26"
"150531","19/04/26"
"150549","19/04/26"
"150644","19/04/26"
"150704","19/04/26"
"304630","19/04/26"
"305630","19/04/26"
"304319","19/04/26"
"304632","19/04/26"
"305633","19/04/26"
"136782","19/04/26"
"112973","19/04/26"
"161792","19/04/26"
