sku,eancode
103464,4011334277019
103465,4011334237808
103466,4011334220473
103467,4011334220558
103469,4011334220626
103471,4011334277040
103472,4011334277033
103473,4011334237815
103474,4011334220688
103475,4011334220763
103477,4011334223177
103479,4011334223283
103481,4011334223351
103482,4011334175889
103483,4011334175896
103484,4011334186861
103485,4011334186878
103486,4011334175902
103487,4011334180180
103488,4011334180173
103489,4011334175858
103490,4011334175865
103491,4011334186885
103493,4011334175872
103494,4011334180227
103495,4011334180210
103496,4011334175827
103497,4011334175834
103498,4011334186847
103500,4011334175841
103501,4011334180203
103502,4011334180197
103503,4011334003144
103504,4011334003151
103505,4011334214922
103506,4011334214939
103507,4011334003205
103508,4011334003212
103510,4011334223405
103511,4011334223412
103513,4011334275671
103514,4011334298793
103515,4011334267454
103517,4011334278955
103518,4011334278948
103519,4011334230618
103521,4011334223436
103522,4011334223443
103524,4011334275664
103525,4011334298779
103526,4011334267478
103528,4011334278979
103529,4011334278962
103530,4011334230625
103532,4011334223467
103533,4011334223474
103535,4011334275633
103536,4011334298755
103537,4011334267492
103539,4011334278986
103540,4011334278993
103541,4011334230632
103542,4011334174523
103543,4011334174530
103544,4011334174547
103548,4011334174493
103549,4011334174509
103550,4011334174516
103551,4011334219439
103552,4011334219446
103553,4011334219453
103555,4011334281337
103556,4011334297765
103557,4011334263784
103558,4011334297772
103560,4011334297789
103561,4011334265429
103562,4011334297796
103566,4011334214274
103568,4011334275657
103569,4011334298731
103570,4011334267577
103575,4011334003656
103577,4011334275640
103578,4011334298717
103579,4011334267591
103581,4011334003670
103582,4011334003687
103594,4011334236245
103595,4011334236252
103605,4011334173984
103606,4011334173991
103607,4011334174004
103608,4011334173915
103609,4011334173922
103610,4011334173939
103617,4011334236931
103618,4011334173618
103619,4011334173632
103620,4011334173649
103621,4011334173304
103622,4011334173595
103623,4011334173311
103628,4011334281740
103629,4011334298694
103630,4011334264279
103632,4011334173700
103633,4011334173717
103634,4011334173724
103635,4011334174196
103636,4011334174202
103637,4011334174219
103638,4011334174226
103639,4011334174233
103640,4011334174257
103641,4011334173410
103642,4011334173434
103643,4011334173441
103644,4011334176541
103645,4011334176558
103646,4011334176565
103647,4011334176589
103648,4011334176619
103649,4011334176626
103651,4011334281757
103652,4011334298670
103653,4011334267706
103656,4011334281764
103657,4011334298656
